#DISTANCE:	AVE_GOFR:	ERROR:
0	0	0
0.0256496	0	0
0.0512993	0	0
0.0769489	0	0
0.102599	0	0
0.128248	0	0
0.153898	0	0
0.179547	0	0
0.205197	0	0
0.230847	0	0
0.256496	0	0
0.282146	0	0
0.307796	0	0
0.333445	0	0
0.359095	0	0
0.384745	0	0
0.410394	0	0
0.436044	0	0
0.461694	0	0
0.487343	0	0
0.512993	0	0
0.538642	0	0
0.564292	0	0
0.589942	0	0
0.615591	0	0
0.641241	0	0
0.666891	0	0
0.69254	0	0
0.71819	0	0
0.74384	0	0
0.769489	0	0
0.795139	0	0
0.820788	0	0
0.846438	4.86307e-06	4.73994e-06
0.872088	0.00123573	6.34918e-05
0.897737	0.023998	0.000445917
0.923387	0.165282	0.00129003
0.949037	0.559818	0.00345217
0.974686	1.20518	0.00513909
1.00034	1.86068	0.00485486
1.02599	2.33327	0.00296582
1.05164	2.54948	0.00312183
1.07728	2.55044	0.00396821
1.10293	2.40849	0.00364221
1.12858	2.19687	0.00309698
1.15423	1.97573	0.0035497
1.17988	1.75999	0.00325141
1.20553	1.56185	0.00342108
1.23118	1.39448	0.00335392
1.25683	1.24969	0.00231062
1.28248	1.12606	0.0027287
1.30813	1.0243	0.0026843
1.33378	0.944935	0.00265767
1.35943	0.874283	0.00171639
1.38508	0.820213	0.001885
1.41073	0.772164	0.00135944
1.43638	0.737695	0.00140175
1.46203	0.709978	0.0015099
1.48768	0.687427	0.00100546
1.51333	0.675799	0.00174396
1.53898	0.667779	0.0018574
1.56463	0.668285	0.00202952
1.59028	0.672388	0.00189274
1.61593	0.685338	0.00200702
1.64158	0.700694	0.00190191
1.66723	0.721562	0.00158515
1.69288	0.748257	0.00173288
1.71853	0.777847	0.00174943
1.74418	0.814105	0.00126251
1.76983	0.852325	0.0012682
1.79547	0.891848	0.00130724
1.82112	0.934695	0.0013174
1.84677	0.974351	0.00111812
1.87242	1.01803	0.00116153
1.89807	1.05818	0.00125377
1.92372	1.0983	0.00138825
1.94937	1.13056	0.00142443
1.97502	1.16158	0.00133397
2.00067	1.18716	0.00150942
2.02632	1.20485	0.00154137
2.05197	1.21484	0.00173813
2.07762	1.21589	0.00155856
2.10327	1.21161	0.00148309
2.12892	1.19616	0.00150153
2.15457	1.1778	0.00184032
2.18022	1.15404	0.00199475
2.20587	1.12622	0.00174227
2.23152	1.09751	0.00151452
2.25717	1.06881	0.00111201
2.28282	1.03964	0.00130711
2.30847	1.01196	0.00096495
2.33412	0.98857	0.00116749
2.35977	0.965592	0.000726385
2.38542	0.948066	0.00120031
2.41107	0.932563	0.00133107
2.43672	0.917385	0.00110012
2.46237	0.908287	0.00117484
2.48802	0.894286	0.00106947
2.51366	0.885425	0.00127627
2.53931	0.882984	0.00137495
